KAM,ACCX_F4,ACCY_F4,ACCZ_F4,GYRX_F4,GYRY_F4,GYRZ_F4,ACCX_ED,ACCY_ED,ACCZ_ED,GYRX_ED,GYRY_ED,GYRZ_ED,ACCX_C0,ACCY_C0,ACCZ_C0,GYRX_C0,GYRY_C0,GYRZ_C0,ACCX_46,ACCY_46,ACCZ_46,GYRX_46,GYRY_46,GYRZ_46,LFET_RECTUS_FEM,LEFT_VLO,LEFT_VMO,RIGHT_RECTUS_FEM,RIGHT_VLO,RIGHT_VMO
-0.00432032,0.794,-0.155,1.317,157.104,203.369,-87.036,0.012,0.332,0.96,55.786,7.813,21.301,-0.101,-0.016,1.06,110.962,15.503,2.625,0.013,0.105,1.067,100.159,40.283,-13.428,0.474801974,-0.013052166,-0.125311017,0.224310797,-0.591357906,-0.006341267
-0.017906599,0.312,-0.392,1.079,-136.169,103.455,-69.763,0.214,0.504,0.725,38.574,18.494,25.33,0.078,-0.063,1.085,136.169,5.249,4.578,-0.015,0.069,1.036,88.44,48.828,-18.738,0.111796027,0.00167845,0.036039623,0.15675111,-0.465623198,-5.16E-05
-0.035434839,-0.041,-1.358,2.3,119.263,146.79,-23.926,0.072,0.795,0.658,36.56,25.757,21.851,0.005,0.029,1.028,178.406,13.245,7.446,0.013,0.105,1.067,100.159,40.283,-13.428,-0.050397824,-0.027782744,-0.082850147,-1,0.40404845,-0.010833853
-0.041238643,0.045,-0.746,2.17,161.621,114.685,27.588,-0.084,1.04,0.714,11.597,57.19,11.963,-0.22,-0.076,1.029,227.966,4.211,23.01,0.162,-0.054,1.296,141.785,2.625,-12.695,-0.089015311,-0.027782744,-0.54991722,-0.317813448,-0.182718215,-0.01532644
-0.039807238,-0.383,0.014,1.456,83.923,164.917,35.217,-0.263,0.882,1.09,2.93,45.837,-3.662,0.005,0.029,1.028,178.406,13.245,7.446,0.279,0.365,1.167,165.405,13.733,-11.658,0.119519423,0.016409037,0.120960808,0.341304113,0.278313398,-0.033296729
-0.051692097,-0.57,-0.041,0.696,96.191,117.432,20.691,-0.263,0.61,1.438,11.658,59.448,-12.817,-0.22,-0.076,1.029,227.966,4.211,23.01,0.162,-0.054,1.296,141.785,2.625,-12.695,-0.119909401,0.00167845,0.647472766,0.338008466,-0.277020105,0.012527616
-0.061906429,-0.435,-0.263,0.533,107.849,9.094,12.695,-0.492,0.569,1.469,36.987,66.162,-4.883,-0.35,-0.034,1.082,276.917,-13.062,51.086,0.279,0.365,1.167,165.405,13.733,-11.658,0.19675465,0.060600722,-0.498963507,-0.110191454,0.163055495,0.008035029
-0.070110455,-0.581,-0.525,1,158.264,83.435,-24.841,-0.647,0.733,1.278,60.669,85.205,-1.16,-0.106,0.042,0.999,357.544,-31.128,91.187,0.501,0.686,1.203,138.123,22.827,-9.827,-0.135356194,0.090061974,0.248342864,-0.161272906,-0.151284023,0.034091926
-0.067803503,-0.439,-0.391,1.159,181.03,45.776,-39.612,-0.265,0.825,1.114,44.189,37.109,3.845,-0.35,-0.034,1.082,276.917,-13.062,51.086,0.313,0.48,1.34,103.21,37.354,-18.433,-0.621938504,-0.101435922,-0.023405345,-0.059110002,0.676477657,0.002643916
-0.050615766,-0.233,-0.106,1.228,208.313,51.025,-45.898,-0.109,0.803,1.107,25.635,12.512,1.831,-0.106,0.042,0.999,357.544,-31.128,91.187,0.501,0.686,1.203,138.123,22.827,-9.827,0.003666835,0.13425361,0.180405693,0.011745386,0.142099481,0.027802446
-0.028537068,-0.044,0.558,1.285,178.772,33.936,-31.494,0.017,0.746,1.121,12.512,22.522,-2.075,-0.181,0.363,0.972,444.214,5.676,112.976,0.313,0.48,1.34,103.21,37.354,-18.433,0.258542326,-0.145627558,-0.091342432,0.240788493,0.320225425,-5.16E-05
-0.010514146,0.27,1.05,1.277,117.615,12.878,-8.667,0.041,0.603,1.215,16.663,34.546,-1.953,0.016,1.213,0.905,388.794,2.258,106.384,-0.208,0.368,1.135,69.214,89.294,-24.353,-0.019503682,-0.204550062,0.095484508,0.483014243,-0.51801409,0.010730575
0.014542243,0.297,1.12,1.247,66.467,32.471,-20.691,-0.012,0.711,1.168,31.25,65.857,1.709,-0.181,0.363,0.972,444.214,5.676,112.976,-0.477,0.249,0.683,47.546,92.346,-21.851,-0.104462356,-0.160357943,-0.269677087,-0.021210492,0.152577659,-0.039586474
0.028850339,0.127,0.59,1.148,51.453,27.161,-9.827,0.065,0.879,1.107,31.738,69.153,8.85,0.016,1.213,0.905,388.794,2.258,106.384,-0.208,0.368,1.135,69.214,89.294,-24.353,0.19675465,0.031139663,0.146437386,-0.116782749,0.110665632,-0.046774459
0.032841298,-0.186,0.175,1.108,65.491,37.72,-12.573,-0.006,0.825,1.119,35.278,68.481,12.512,-0.215,1.179,0.573,325.745,19.043,112.427,-0.477,0.249,0.683,47.546,92.346,-21.851,-0.197144376,-0.07197467,-0.380074294,0.000210812,0.309747247,-0.115960479
0.045941058,-0.374,0.109,1.117,44.434,25.391,-12.634,-0.121,0.607,1.099,44.128,72.083,11.108,0.032,0.675,0.746,296.875,-1.77,120.178,-0.437,0.105,0.148,37.842,48.035,-14.282,-0.173973934,0.178445729,0.239850578,0.133682119,0.184011508,-0.004544226
0.06078795,-0.305,0.006,1.1,24.963,15.198,-9.216,-0.317,0.353,1.118,60.425,66.406,8.057,-0.215,1.179,0.573,325.745,19.043,112.427,-0.102,-0.015,0.082,25.146,-6.409,-1.648,-0.27437935,-0.013052166,0.188897978,-0.194228838,0.194489343,0.047569951
